id,pay_date,base_pay,number_regular_hours,number_overtime_hours,tax_id,federal_percent,state_percent,ssn
64,2022-07-30,35,80,20,3,0.22,0.06,333-33-3333
65,2022-08-13,35,80,20,3,0.22,0.06,333-33-3333
66,2022-08-27,35,80,20,3,0.22,0.06,333-33-3333
67,2022-09-10,35,80,10,3,0.22,0.06,333-33-3333
68,2022-09-24,35,80,10,3,0.22,0.06,333-33-3333
69,2022-10-08,35,80,10,3,0.22,0.06,333-33-3333
70,2022-10-22,35,80,10,3,0.22,0.06,333-33-3333
71,2022-11-05,35,80,40,3,0.22,0.06,333-33-3333
72,2022-11-19,35,80,40,3,0.22,0.06,333-33-3333
73,2022-01-01,55,80,30,4,0.32,0.075,444-44-4444
74,2022-01-15,55,80,5,4,0.32,0.075,444-44-4444
75,2022-01-29,55,80,15,4,0.32,0.075,444-44-4444
76,2022-02-12,55,80,10,4,0.32,0.075,444-44-4444
77,2022-02-26,55,80,10,4,0.32,0.075,444-44-4444
78,2022-03-12,55,80,35,4,0.32,0.075,444-44-4444
79,2022-03-26,55,80,5,4,0.32,0.075,444-44-4444
80,2022-04-09,55,80,10,4,0.32,0.075,444-44-4444
81,2022-04-23,55,80,30,4,0.32,0.075,444-44-4444
82,2022-05-07,55,80,5,4,0.32,0.075,444-44-4444
83,2022-05-21,55,80,5,4,0.32,0.075,444-44-4444
84,2022-06-04,55,80,40,4,0.32,0.075,444-44-4444
85,2022-06-18,55,80,5,4,0.32,0.075,444-44-4444
86,2022-07-02,55,80,10,4,0.32,0.075,444-44-4444
87,2022-07-16,55,80,10,4,0.32,0.075,444-44-4444
88,2022-07-30,55,80,35,4,0.32,0.075,444-44-4444
89,2022-08-13,55,80,30,4,0.32,0.075,444-44-4444
90,2022-08-27,55,80,5,4,0.32,0.075,444-44-4444
91,2022-09-10,55,80,20,4,0.32,0.075,444-44-4444
92,2022-09-24,55,80,35,4,0.32,0.075,444-44-4444
93,2022-10-08,55,80,25,4,0.32,0.075,444-44-4444
94,2022-10-22,55,80,10,4,0.32,0.075,444-44-4444
95,2022-11-05,55,80,20,4,0.32,0.075,444-44-4444
96,2022-11-19,55,80,5,4,0.32,0.075,444-44-4444
97,2022-01-01,40,80,5,5,0.37,0.1,555-55-5555
98,2022-01-15,40,80,40,5,0.37,0.1,555-55-5555
99,2022-01-29,40,80,10,5,0.37,0.1,555-55-5555
100,2022-02-12,40,80,30,5,0.37,0.1,555-55-5555
101,2022-02-26,40,80,40,5,0.37,0.1,555-55-5555
102,2022-03-12,40,80,30,5,0.37,0.1,555-55-5555
103,2022-03-26,40,80,40,5,0.37,0.1,555-55-5555
104,2022-04-09,40,80,20,5,0.37,0.1,555-55-5555
105,2022-04-23,40,80,10,5,0.37,0.1,555-55-5555
106,2022-05-07,40,80,30,5,0.37,0.1,555-55-5555
107,2022-05-21,40,80,20,5,0.37,0.1,555-55-5555
108,2022-06-04,40,80,30,5,0.37,0.1,555-55-5555
109,2022-06-18,40,80,20,5,0.37,0.1,555-55-5555
110,2022-07-02,40,80,15,5,0.37,0.1,555-55-5555
111,2022-07-16,40,80,25,5,0.37,0.1,555-55-5555
112,2022-07-30,40,80,25,5,0.37,0.1,555-55-5555
113,2022-08-13,40,80,30,5,0.37,0.1,555-55-5555
114,2022-08-27,40,80,5,5,0.37,0.1,555-55-5555
115,2022-09-10,40,80,20,5,0.37,0.1,555-55-5555
116,2022-09-24,40,80,35,5,0.37,0.1,555-55-5555
117,2022-10-08,40,80,10,5,0.37,0.1,555-55-5555
118,2022-10-22,40,80,20,5,0.37,0.1,555-55-5555
119,2022-11-05,40,80,5,5,0.37,0.1,555-55-5555
120,2022-11-19,40,80,15,5,0.37,0.1,555-55-5555
121,2022-01-01,35,80,40,1,0.1,0.04,666-66-6666
122,2022-01-15,35,80,35,1,0.1,0.04,666-66-6666
123,2022-01-29,35,80,25,1,0.1,0.04,666-66-6666
124,2022-02-12,35,80,10,1,0.1,0.04,666-66-6666
125,2022-02-26,35,80,35,1,0.1,0.04,666-66-6666
126,2022-03-12,35,80,30,1,0.1,0.04,666-66-6666
127,2022-03-26,35,80,30,1,0.1,0.04,666-66-6666
128,2022-04-09,35,80,10,1,0.1,0.04,666-66-6666
129,2022-04-23,35,80,10,1,0.1,0.04,666-66-6666
130,2022-05-07,35,80,10,1,0.1,0.04,666-66-6666
131,2022-05-21,35,80,40,1,0.1,0.04,666-66-6666
132,2022-06-04,35,80,30,1,0.1,0.04,666-66-6666
133,2022-06-18,35,80,5,1,0.1,0.04,666-66-6666
134,2022-07-02,35,80,25,1,0.1,0.04,666-66-6666
135,2022-07-16,35,80,5,1,0.1,0.04,666-66-6666
136,2022-07-30,35,80,10,1,0.1,0.04,666-66-6666
137,2022-08-13,35,80,5,1,0.1,0.04,666-66-6666
138,2022-08-27,35,80,20,1,0.1,0.04,666-66-6666
139,2022-09-10,35,80,35,1,0.1,0.04,666-66-6666
140,2022-09-24,35,80,20,1,0.1,0.04,666-66-6666
141,2022-10-08,35,80,5,1,0.1,0.04,666-66-6666
142,2022-10-22,35,80,20,1,0.1,0.04,666-66-6666
143,2022-11-05,35,80,40,1,0.1,0.04,666-66-6666
144,2022-11-19,35,80,35,1,0.1,0.04,666-66-6666
145,2022-01-01,55,80,10,2,0.12,0.045,777-77-7777
146,2022-01-15,55,80,30,2,0.12,0.045,777-77-7777
147,2022-01-29,55,80,25,2,0.12,0.045,777-77-7777
148,2022-02-12,55,80,30,2,0.12,0.045,777-77-7777
149,2022-02-26,55,80,15,2,0.12,0.045,777-77-7777
150,2022-03-12,55,80,25,2,0.12,0.045,777-77-7777
151,2022-03-26,55,80,5,2,0.12,0.045,777-77-7777
152,2022-04-09,55,80,35,2,0.12,0.045,777-77-7777
153,2022-04-23,55,80,5,2,0.12,0.045,777-77-7777
154,2022-05-07,55,80,25,2,0.12,0.045,777-77-7777
155,2022-05-21,55,80,10,2,0.12,0.045,777-77-7777
156,2022-06-04,55,80,10,2,0.12,0.045,777-77-7777
157,2022-06-18,55,80,5,2,0.12,0.045,777-77-7777
158,2022-07-02,55,80,40,2,0.12,0.045,777-77-7777
159,2022-07-16,55,80,20,2,0.12,0.045,777-77-7777
160,2022-07-30,55,80,30,2,0.12,0.045,777-77-7777
161,2022-08-13,55,80,25,2,0.12,0.045,777-77-7777
162,2022-08-27,55,80,25,2,0.12,0.045,777-77-7777
163,2022-09-10,55,80,25,2,0.12,0.045,777-77-7777
164,2022-09-24,55,80,40,2,0.12,0.045,777-77-7777
165,2022-10-08,55,80,30,2,0.12,0.045,777-77-7777
166,2022-10-22,55,80,30,2,0.12,0.045,777-77-7777
167,2022-11-05,55,80,35,2,0.12,0.045,777-77-7777
168,2022-11-19,55,80,35,2,0.12,0.045,777-77-7777
169,2022-01-01,35,80,30,3,0.22,0.06,888-88-8888
170,2022-01-15,35,80,30,3,0.22,0.06,888-88-8888
171,2022-01-29,35,80,30,3,0.22,0.06,888-88-8888
172,2022-02-12,35,80,30,3,0.22,0.06,888-88-8888
173,2022-02-26,35,80,25,3,0.22,0.06,888-88-8888
174,2022-03-12,35,80,25,3,0.22,0.06,888-88-8888
175,2022-03-26,35,80,5,3,0.22,0.06,888-88-8888
176,2022-04-09,35,80,40,3,0.22,0.06,888-88-8888
177,2022-04-23,35,80,15,3,0.22,0.06,888-88-8888
178,2022-05-07,35,80,5,3,0.22,0.06,888-88-8888
179,2022-05-21,35,80,40,3,0.22,0.06,888-88-8888
180,2022-06-04,35,80,15,3,0.22,0.06,888-88-8888
181,2022-06-18,35,80,30,3,0.22,0.06,888-88-8888
182,2022-07-02,35,80,35,3,0.22,0.06,888-88-8888
183,2022-07-16,35,80,10,3,0.22,0.06,888-88-8888
184,2022-07-30,35,80,5,3,0.22,0.06,888-88-8888
185,2022-08-13,35,80,30,3,0.22,0.06,888-88-8888
186,2022-08-27,35,80,15,3,0.22,0.06,888-88-8888
187,2022-09-10,35,80,25,3,0.22,0.06,888-88-8888
188,2022-09-24,35,80,30,3,0.22,0.06,888-88-8888
189,2022-10-08,35,80,40,3,0.22,0.06,888-88-8888
190,2022-10-22,35,80,15,3,0.22,0.06,888-88-8888
191,2022-11-05,35,80,20,3,0.22,0.06,888-88-8888
192,2022-11-19,35,80,30,3,0.22,0.06,888-88-8888
193,2022-01-01,55,80,5,4,0.32,0.075,999-99-9999
194,2022-01-15,55,80,5,4,0.32,0.075,999-99-9999
195,2022-01-29,55,80,25,4,0.32,0.075,999-99-9999
196,2022-02-12,55,80,25,4,0.32,0.075,999-99-9999
197,2022-02-26,55,80,30,4,0.32,0.075,999-99-9999
198,2022-03-12,55,80,15,4,0.32,0.075,999-99-9999
199,2022-03-26,55,80,15,4,0.32,0.075,999-99-9999
200,2022-04-09,55,80,5,4,0.32,0.075,999-99-9999
201,2022-04-23,55,80,20,4,0.32,0.075,999-99-9999
202,2022-05-07,55,80,35,4,0.32,0.075,999-99-9999
203,2022-05-21,55,80,5,4,0.32,0.075,999-99-9999
204,2022-06-04,55,80,25,4,0.32,0.075,999-99-9999
205,2022-06-18,55,80,10,4,0.32,0.075,999-99-9999
206,2022-07-02,55,80,15,4,0.32,0.075,999-99-9999
207,2022-07-16,55,80,25,4,0.32,0.075,999-99-9999
208,2022-07-30,55,80,5,4,0.32,0.075,999-99-9999
209,2022-08-13,55,80,40,4,0.32,0.075,999-99-9999
210,2022-08-27,55,80,5,4,0.32,0.075,999-99-9999
211,2022-09-10,55,80,15,4,0.32,0.075,999-99-9999
212,2022-09-24,55,80,5,4,0.32,0.075,999-99-9999
213,2022-10-08,55,80,5,4,0.32,0.075,999-99-9999
214,2022-10-22,55,80,20,4,0.32,0.075,999-99-9999
215,2022-11-05,55,80,5,4,0.32,0.075,999-99-9999
216,2022-11-19,55,80,5,4,0.32,0.075,999-99-9999
217,2022-01-01,40,80,15,5,0.37,0.1,000-00-0000
218,2022-01-15,40,80,5,5,0.37,0.1,000-00-0000
219,2022-01-29,40,80,5,5,0.37,0.1,000-00-0000
220,2022-02-12,40,80,15,5,0.37,0.1,000-00-0000
221,2022-02-26,40,80,15,5,0.37,0.1,000-00-0000
222,2022-03-12,40,80,25,5,0.37,0.1,000-00-0000
223,2022-03-26,40,80,5,5,0.37,0.1,000-00-0000
224,2022-04-09,40,80,25,5,0.37,0.1,000-00-0000
225,2022-04-23,40,80,5,5,0.37,0.1,000-00-0000
226,2022-05-07,40,80,15,5,0.37,0.1,000-00-0000
227,2022-05-21,40,80,25,5,0.37,0.1,000-00-0000
228,2022-06-04,40,80,5,5,0.37,0.1,000-00-0000
229,2022-06-18,40,80,10,5,0.37,0.1,000-00-0000
230,2022-07-02,40,80,20,5,0.37,0.1,000-00-0000
231,2022-07-16,40,80,5,5,0.37,0.1,000-00-0000
232,2022-07-30,40,80,35,5,0.37,0.1,000-00-0000
233,2022-08-13,40,80,20,5,0.37,0.1,000-00-0000
234,2022-08-27,40,80,35,5,0.37,0.1,000-00-0000
235,2022-09-10,40,80,10,5,0.37,0.1,000-00-0000
236,2022-09-24,40,80,25,5,0.37,0.1,000-00-0000
237,2022-10-08,40,80,25,5,0.37,0.1,000-00-0000
238,2022-10-22,40,80,25,5,0.37,0.1,000-00-0000
239,2022-11-05,40,80,5,5,0.37,0.1,000-00-0000
240,2022-11-19,40,80,15,5,0.37,0.1,000-00-0000
241,2022-01-01,35,80,30,1,0.1,0.04,123-45-6789
242,2022-01-15,35,80,25,1,0.1,0.04,123-45-6789
243,2022-01-29,35,80,35,1,0.1,0.04,123-45-6789
244,2022-02-12,35,80,25,1,0.1,0.04,123-45-6789
245,2022-02-26,35,80,40,1,0.1,0.04,123-45-6789
246,2022-03-12,35,80,40,1,0.1,0.04,123-45-6789
247,2022-03-26,35,80,5,1,0.1,0.04,123-45-6789
248,2022-04-09,35,80,15,1,0.1,0.04,123-45-6789
249,2022-04-23,35,80,40,1,0.1,0.04,123-45-6789
250,2022-05-07,35,80,20,1,0.1,0.04,123-45-6789
251,2022-05-21,35,80,30,1,0.1,0.04,123-45-6789
252,2022-06-04,35,80,25,1,0.1,0.04,123-45-6789
253,2022-06-18,35,80,30,1,0.1,0.04,123-45-6789
254,2022-07-02,35,80,25,1,0.1,0.04,123-45-6789
255,2022-07-16,35,80,25,1,0.1,0.04,123-45-6789
256,2022-07-30,35,80,40,1,0.1,0.04,123-45-6789
257,2022-08-13,35,80,20,1,0.1,0.04,123-45-6789
258,2022-08-27,35,80,30,1,0.1,0.04,123-45-6789
259,2022-09-10,35,80,5,1,0.1,0.04,123-45-6789
260,2022-09-24,35,80,10,1,0.1,0.04,123-45-6789
261,2022-10-08,35,80,30,1,0.1,0.04,123-45-6789
262,2022-10-22,35,80,40,1,0.1,0.04,123-45-6789
263,2022-11-05,35,80,20,1,0.1,0.04,123-45-6789
264,2022-11-19,35,80,10,1,0.1,0.04,123-45-6789
265,2022-01-01,35,80,20,2,0.12,0.045,234-56-7890
266,2022-01-15,35,80,15,2,0.12,0.045,234-56-7890
267,2022-01-29,35,80,35,2,0.12,0.045,234-56-7890
268,2022-02-12,35,80,35,2,0.12,0.045,234-56-7890
269,2022-02-26,35,80,35,2,0.12,0.045,234-56-7890
270,2022-03-12,35,80,40,2,0.12,0.045,234-56-7890
271,2022-03-26,35,80,5,2,0.12,0.045,234-56-7890
272,2022-04-09,35,80,15,2,0.12,0.045,234-56-7890
273,2022-04-23,35,80,40,2,0.12,0.045,234-56-7890
274,2022-05-07,35,80,40,2,0.12,0.045,234-56-7890
275,2022-05-21,35,80,20,2,0.12,0.045,234-56-7890
276,2022-06-04,35,80,30,2,0.12,0.045,234-56-7890
277,2022-06-18,35,80,25,2,0.12,0.045,234-56-7890
278,2022-07-02,35,80,35,2,0.12,0.045,234-56-7890
279,2022-07-16,35,80,25,2,0.12,0.045,234-56-7890
280,2022-07-30,35,80,15,2,0.12,0.045,234-56-7890
281,2022-08-13,35,80,25,2,0.12,0.045,234-56-7890
282,2022-08-27,35,80,15,2,0.12,0.045,234-56-7890
283,2022-09-10,35,80,5,2,0.12,0.045,234-56-7890
284,2022-09-24,35,80,30,2,0.12,0.045,234-56-7890
285,2022-10-08,35,80,15,2,0.12,0.045,234-56-7890
286,2022-10-22,35,80,25,2,0.12,0.045,234-56-7890
287,2022-11-05,35,80,10,2,0.12,0.045,234-56-7890
288,2022-11-19,35,80,40,2,0.12,0.045,234-56-7890
289,2022-01-01,35,80,5,1,0.1,0.04,345-67-8901
290,2022-01-15,35,80,20,1,0.1,0.04,345-67-8901
291,2022-01-29,35,80,40,1,0.1,0.04,345-67-8901
292,2022-02-12,35,80,40,1,0.1,0.04,345-67-8901
293,2022-02-26,35,80,25,1,0.1,0.04,345-67-8901
294,2022-03-12,35,80,10,1,0.1,0.04,345-67-8901
295,2022-03-26,35,80,25,1,0.1,0.04,345-67-8901
296,2022-04-09,35,80,30,1,0.1,0.04,345-67-8901
297,2022-04-23,35,80,35,1,0.1,0.04,345-67-8901
298,2022-05-07,35,80,5,1,0.1,0.04,345-67-8901
299,2022-05-21,35,80,10,1,0.1,0.04,345-67-8901
300,2022-06-04,35,80,20,1,0.1,0.04,345-67-8901
301,2022-06-18,35,80,30,1,0.1,0.04,345-67-8901
302,2022-07-02,35,80,30,1,0.1,0.04,345-67-8901
303,2022-07-16,35,80,15,1,0.1,0.04,345-67-8901
304,2022-07-30,35,80,5,1,0.1,0.04,345-67-8901
305,2022-08-13,35,80,35,1,0.1,0.04,345-67-8901
306,2022-08-27,35,80,25,1,0.1,0.04,345-67-8901
307,2022-09-10,35,80,25,1,0.1,0.04,345-67-8901
308,2022-09-24,35,80,20,1,0.1,0.04,345-67-8901
309,2022-10-08,35,80,20,1,0.1,0.04,345-67-8901
310,2022-10-22,35,80,5,1,0.1,0.04,345-67-8901
311,2022-11-05,35,80,5,1,0.1,0.04,345-67-8901
312,2022-11-19,35,80,10,1,0.1,0.04,345-67-8901
313,2022-01-01,55,80,35,4,0.32,0.075,456-78-9012
314,2022-01-15,55,80,5,4,0.32,0.075,456-78-9012
315,2022-01-29,55,80,35,4,0.32,0.075,456-78-9012
316,2022-02-12,55,80,20,4,0.32,0.075,456-78-9012
317,2022-02-26,55,80,30,4,0.32,0.075,456-78-9012
318,2022-03-12,55,80,40,4,0.32,0.075,456-78-9012
319,2022-03-26,55,80,5,4,0.32,0.075,456-78-9012
320,2022-04-09,55,80,5,4,0.32,0.075,456-78-9012
321,2022-04-23,55,80,35,4,0.32,0.075,456-78-9012
322,2022-05-07,55,80,10,4,0.32,0.075,456-78-9012
323,2022-05-21,55,80,30,4,0.32,0.075,456-78-9012
324,2022-06-04,55,80,25,4,0.32,0.075,456-78-9012
325,2022-06-18,55,80,25,4,0.32,0.075,456-78-9012
326,2022-07-02,55,80,30,4,0.32,0.075,456-78-9012
327,2022-07-16,55,80,40,4,0.32,0.075,456-78-9012
328,2022-07-30,55,80,20,4,0.32,0.075,456-78-9012
329,2022-08-13,55,80,10,4,0.32,0.075,456-78-9012
330,2022-08-27,55,80,10,4,0.32,0.075,456-78-9012
331,2022-09-10,55,80,30,4,0.32,0.075,456-78-9012
332,2022-09-24,55,80,25,4,0.32,0.075,456-78-9012
333,2022-10-08,55,80,35,4,0.32,0.075,456-78-9012
334,2022-10-22,55,80,20,4,0.32,0.075,456-78-9012
335,2022-11-05,55,80,15,4,0.32,0.075,456-78-9012
336,2022-11-19,55,80,35,4,0.32,0.075,456-78-9012
337,2022-01-01,55,80,25,4,0.32,0.075,567-89-0123
338,2022-01-15,55,80,10,4,0.32,0.075,567-89-0123
339,2022-01-29,55,80,40,4,0.32,0.075,567-89-0123
340,2022-02-12,55,80,35,4,0.32,0.075,567-89-0123
341,2022-02-26,55,80,30,4,0.32,0.075,567-89-0123
342,2022-03-12,55,80,15,4,0.32,0.075,567-89-0123
343,2022-03-26,55,80,25,4,0.32,0.075,567-89-0123
344,2022-04-09,55,80,30,4,0.32,0.075,567-89-0123
345,2022-04-23,55,80,5,4,0.32,0.075,567-89-0123
346,2022-05-07,55,80,5,4,0.32,0.075,567-89-0123
347,2022-05-21,55,80,15,4,0.32,0.075,567-89-0123
348,2022-06-04,55,80,25,4,0.32,0.075,567-89-0123
349,2022-06-18,55,80,20,4,0.32,0.075,567-89-0123
350,2022-07-02,55,80,20,4,0.32,0.075,567-89-0123
351,2022-07-16,55,80,40,4,0.32,0.075,567-89-0123
352,2022-07-30,55,80,15,4,0.32,0.075,567-89-0123
353,2022-08-13,55,80,10,4,0.32,0.075,567-89-0123
354,2022-08-27,55,80,15,4,0.32,0.075,567-89-0123
355,2022-09-10,55,80,30,4,0.32,0.075,567-89-0123
356,2022-09-24,55,80,35,4,0.32,0.075,567-89-0123
357,2022-10-08,55,80,5,4,0.32,0.075,567-89-0123
358,2022-10-22,55,80,15,4,0.32,0.075,567-89-0123
359,2022-11-05,55,80,35,4,0.32,0.075,567-89-0123
360,2022-11-19,55,80,30,4,0.32,0.075,567-89-0123
361,2022-01-01,55,80,15,3,0.22,0.06,678-90-1234
362,2022-01-15,55,80,5,3,0.22,0.06,678-90-1234
363,2022-01-29,55,80,25,3,0.22,0.06,678-90-1234
364,2022-02-12,55,80,10,3,0.22,0.06,678-90-1234
365,2022-02-26,55,80,40,3,0.22,0.06,678-90-1234
366,2022-03-12,55,80,5,3,0.22,0.06,678-90-1234
367,2022-03-26,55,80,5,3,0.22,0.06,678-90-1234
368,2022-04-09,55,80,20,3,0.22,0.06,678-90-1234
369,2022-04-23,55,80,25,3,0.22,0.06,678-90-1234
370,2022-05-07,55,80,10,3,0.22,0.06,678-90-1234
371,2022-05-21,55,80,15,3,0.22,0.06,678-90-1234
372,2022-06-04,55,80,15,3,0.22,0.06,678-90-1234
373,2022-06-18,55,80,20,3,0.22,0.06,678-90-1234
374,2022-07-02,55,80,10,3,0.22,0.06,678-90-1234
375,2022-07-16,55,80,40,3,0.22,0.06,678-90-1234
376,2022-07-30,55,80,15,3,0.22,0.06,678-90-1234
377,2022-08-13,55,80,40,3,0.22,0.06,678-90-1234
378,2022-08-27,55,80,35,3,0.22,0.06,678-90-1234
379,2022-09-10,55,80,30,3,0.22,0.06,678-90-1234
380,2022-09-24,55,80,20,3,0.22,0.06,678-90-1234
381,2022-10-08,55,80,10,3,0.22,0.06,678-90-1234
382,2022-10-22,55,80,5,3,0.22,0.06,678-90-1234
383,2022-11-05,55,80,25,3,0.22,0.06,678-90-1234
384,2022-11-19,55,80,40,3,0.22,0.06,678-90-1234
385,2022-01-01,55,80,15,2,0.12,0.045,789-01-2345
386,2022-01-15,55,80,25,2,0.12,0.045,789-01-2345
387,2022-01-29,55,80,40,2,0.12,0.045,789-01-2345
388,2022-02-12,55,80,5,2,0.12,0.045,789-01-2345
389,2022-02-26,55,80,5,2,0.12,0.045,789-01-2345
390,2022-03-12,55,80,15,2,0.12,0.045,789-01-2345
391,2022-03-26,55,80,20,2,0.12,0.045,789-01-2345
392,2022-04-09,55,80,15,2,0.12,0.045,789-01-2345
393,2022-04-23,55,80,40,2,0.12,0.045,789-01-2345
394,2022-05-07,55,80,15,2,0.12,0.045,789-01-2345
395,2022-05-21,55,80,40,2,0.12,0.045,789-01-2345
396,2022-06-04,55,80,35,2,0.12,0.045,789-01-2345
397,2022-06-18,55,80,15,2,0.12,0.045,789-01-2345
398,2022-07-02,55,80,35,2,0.12,0.045,789-01-2345
399,2022-07-16,55,80,10,2,0.12,0.045,789-01-2345
400,2022-07-30,55,80,25,2,0.12,0.045,789-01-2345
401,2022-08-13,55,80,15,2,0.12,0.045,789-01-2345
402,2022-08-27,55,80,15,2,0.12,0.045,789-01-2345
403,2022-09-10,55,80,40,2,0.12,0.045,789-01-2345
404,2022-09-24,55,80,15,2,0.12,0.045,789-01-2345
405,2022-10-08,55,80,30,2,0.12,0.045,789-01-2345
406,2022-10-22,55,80,10,2,0.12,0.045,789-01-2345
407,2022-11-05,55,80,5,2,0.12,0.045,789-01-2345
408,2022-11-19,55,80,35,2,0.12,0.045,789-01-2345
409,2022-01-01,55,80,20,3,0.22,0.06,890-12-3456
410,2022-01-15,55,80,15,3,0.22,0.06,890-12-3456
411,2022-01-29,55,80,25,3,0.22,0.06,890-12-3456
412,2022-02-12,55,80,30,3,0.22,0.06,890-12-3456
413,2022-02-26,55,80,40,3,0.22,0.06,890-12-3456
414,2022-03-12,55,80,40,3,0.22,0.06,890-12-3456
415,2022-03-26,55,80,30,3,0.22,0.06,890-12-3456
416,2022-04-09,55,80,35,3,0.22,0.06,890-12-3456
417,2022-04-23,55,80,35,3,0.22,0.06,890-12-3456
418,2022-05-07,55,80,20,3,0.22,0.06,890-12-3456
419,2022-05-21,55,80,20,3,0.22,0.06,890-12-3456
420,2022-06-04,55,80,40,3,0.22,0.06,890-12-3456
421,2022-06-18,55,80,35,3,0.22,0.06,890-12-3456
422,2022-07-02,55,80,40,3,0.22,0.06,890-12-3456
423,2022-07-16,55,80,15,3,0.22,0.06,890-12-3456
424,2022-07-30,55,80,10,3,0.22,0.06,890-12-3456
425,2022-08-13,55,80,25,3,0.22,0.06,890-12-3456
426,2022-08-27,55,80,40,3,0.22,0.06,890-12-3456
427,2022-09-10,55,80,5,3,0.22,0.06,890-12-3456
428,2022-09-24,55,80,15,3,0.22,0.06,890-12-3456
429,2022-10-08,55,80,30,3,0.22,0.06,890-12-3456
430,2022-10-22,55,80,30,3,0.22,0.06,890-12-3456
431,2022-11-05,55,80,40,3,0.22,0.06,890-12-3456
432,2022-11-19,55,80,40,3,0.22,0.06,890-12-3456
433,2022-01-01,35,80,10,3,0.22,0.06,901-23-4567
434,2022-01-15,35,80,15,3,0.22,0.06,901-23-4567
